Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,0.109000,0.125000,0.109000,0.125000,0.125000,4000
2019-01-02,0.135000,0.135000,0.101000,0.101000,0.101000,4100
2019-01-03,0.125000,0.125000,0.098000,0.120000,0.120000,2200
2019-01-04,0.100000,0.100000,0.100000,0.100000,0.100000,3000
2019-01-07,0.095000,0.095000,0.095000,0.095000,0.095000,1100
2019-01-08,0.126000,0.126000,0.126000,0.126000,0.126000,1000
2019-01-09,0.127000,0.127000,0.127000,0.127000,0.127000,2500
2019-01-10,0.127000,0.127000,0.127000,0.127000,0.127000,0
2019-01-11,0.127000,0.127000,0.127000,0.127000,0.127000,0
2019-01-14,0.130000,0.130000,0.125000,0.130000,0.130000,6500
2019-01-15,0.130000,0.130000,0.130000,0.130000,0.130000,0
2019-01-16,0.114000,0.120000,0.110000,0.120000,0.120000,15500
2019-01-17,0.123000,0.123000,0.120000,0.120000,0.120000,13000
2019-01-18,0.116000,0.118000,0.110000,0.114000,0.114000,4900
2019-01-22,0.131000,0.131000,0.126000,0.126000,0.126000,6400
2019-01-23,0.123000,0.123000,0.123000,0.123000,0.123000,2000
2019-01-24,0.105000,0.133000,0.105000,0.129000,0.129000,22300
2019-01-25,0.106000,0.106000,0.106000,0.106000,0.106000,8300
2019-01-28,0.107000,0.107000,0.107000,0.107000,0.107000,5500
2019-01-29,0.118000,0.119000,0.110000,0.110000,0.110000,13500
2019-01-30,0.108000,0.108000,0.108000,0.108000,0.108000,1500
2019-01-31,0.110000,0.111000,0.107000,0.111000,0.111000,17100
2019-02-01,0.107000,0.109000,0.101000,0.109000,0.109000,11000
2019-02-04,0.120000,0.138000,0.120000,0.130000,0.130000,32000
2019-02-05,0.117000,0.128000,0.109000,0.120000,0.120000,104800
2019-02-06,0.120000,0.120000,0.120000,0.120000,0.120000,0
2019-02-07,0.118000,0.118000,0.118000,0.118000,0.118000,20000
2019-02-08,0.118000,0.118000,0.118000,0.118000,0.118000,0
2019-02-11,0.116000,0.116000,0.116000,0.116000,0.116000,600
2019-02-12,0.112000,0.112000,0.100000,0.105000,0.105000,4000
2019-02-13,0.109000,0.109000,0.105000,0.105000,0.105000,5000
2019-02-14,0.100000,0.104000,0.100000,0.104000,0.104000,5500
2019-02-15,0.110000,0.111000,0.110000,0.110000,0.110000,3100
2019-02-19,0.100000,0.107000,0.099000,0.099000,0.099000,25600
2019-02-20,0.099000,0.099000,0.099000,0.099000,0.099000,0
2019-02-21,0.099000,0.100000,0.099000,0.100000,0.100000,11500
2019-02-22,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-02-25,0.098000,0.098000,0.098000,0.098000,0.098000,1200
2019-02-26,0.100000,0.100000,0.100000,0.100000,0.100000,1000
2019-02-27,0.105000,0.105000,0.100000,0.100000,0.100000,14500
2019-02-28,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-03-01,0.091000,0.100000,0.091000,0.100000,0.100000,8100
2019-03-04,0.095000,0.095000,0.080000,0.080000,0.080000,21900
2019-03-05,0.099000,0.099000,0.090000,0.090000,0.090000,3000
2019-03-06,0.090000,0.090000,0.085000,0.085000,0.085000,17000
2019-03-07,0.075000,0.085000,0.071000,0.082000,0.082000,25600
2019-03-08,0.082000,0.082000,0.082000,0.082000,0.082000,14500
2019-03-11,0.075000,0.075000,0.058000,0.064000,0.064000,109200
2019-03-12,0.066000,0.066000,0.060000,0.066000,0.066000,27000
2019-03-13,0.058000,0.068000,0.058000,0.068000,0.068000,7700
2019-03-14,0.084000,0.084000,0.084000,0.084000,0.084000,10000
2019-03-15,0.087000,0.087000,0.087000,0.087000,0.087000,10000
2019-03-18,0.066000,0.069000,0.066000,0.069000,0.069000,7100
2019-03-19,0.086000,0.086000,0.086000,0.086000,0.086000,1000
2019-03-20,0.086000,0.086000,0.080000,0.080000,0.080000,35600
2019-03-21,0.080000,0.080000,0.080000,0.080000,0.080000,0
2019-03-22,0.080000,0.085000,0.080000,0.085000,0.085000,69600
2019-03-25,0.087000,0.087000,0.067000,0.067000,0.067000,31800
2019-03-26,0.067000,0.067000,0.067000,0.067000,0.067000,0
2019-03-27,0.066000,0.075000,0.066000,0.075000,0.075000,46000
2019-03-28,0.081000,0.090000,0.081000,0.090000,0.090000,109500
2019-03-29,0.086000,0.090000,0.086000,0.090000,0.090000,14000
2019-04-01,0.080000,0.080000,0.080000,0.080000,0.080000,1100
2019-04-02,0.093000,0.093000,0.073000,0.073000,0.073000,5900
2019-04-03,0.073000,0.080000,0.069000,0.069000,0.069000,11500
2019-04-04,0.080000,0.080000,0.080000,0.080000,0.080000,1000
2019-04-05,0.080000,0.080000,0.080000,0.080000,0.080000,0
2019-04-08,0.085000,0.104000,0.077000,0.077000,0.077000,82300
2019-04-09,0.080000,0.080000,0.080000,0.080000,0.080000,10000
2019-04-10,0.085000,0.089000,0.085000,0.085000,0.085000,5200
2019-04-11,0.090000,0.090000,0.090000,0.090000,0.090000,1100
2019-04-12,0.087000,0.087000,0.076000,0.076000,0.076000,3000
2019-04-15,0.075000,0.083000,0.075000,0.083000,0.083000,3000
2019-04-16,0.108000,0.116000,0.108000,0.116000,0.116000,66000
2019-04-17,0.116000,0.116000,0.116000,0.116000,0.116000,0
2019-04-18,0.116000,0.116000,0.116000,0.116000,0.116000,0
2019-04-22,0.108000,0.108000,0.108000,0.108000,0.108000,8600
2019-04-23,0.108000,0.108000,0.108000,0.108000,0.108000,0
2019-04-24,0.100000,0.100000,0.076000,0.100000,0.100000,73600
2019-04-25,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-04-26,0.100000,0.100000,0.078000,0.081000,0.081000,27300
2019-04-29,0.073000,0.073000,0.069000,0.069000,0.069000,2000
2019-04-30,0.084000,0.085000,0.084000,0.085000,0.085000,5000
2019-05-01,0.085000,0.085000,0.085000,0.085000,0.085000,0
2019-05-02,0.085000,0.085000,0.085000,0.085000,0.085000,0
2019-05-03,0.080000,0.080000,0.080000,0.080000,0.080000,1000
2019-05-06,0.073000,0.073000,0.070000,0.070000,0.070000,20500
2019-05-07,0.070000,0.070000,0.070000,0.070000,0.070000,0
2019-05-08,0.070000,0.070000,0.070000,0.070000,0.070000,0
2019-05-09,0.070000,0.070000,0.070000,0.070000,0.070000,0
2019-05-10,0.068000,0.068000,0.068000,0.068000,0.068000,1100
2019-05-13,0.068000,0.068000,0.068000,0.068000,0.068000,0
2019-05-14,0.068000,0.068000,0.068000,0.068000,0.068000,0
2019-05-15,0.080000,0.080000,0.070000,0.071000,0.071000,57600
2019-05-16,0.071000,0.071000,0.071000,0.071000,0.071000,0
2019-05-17,0.071000,0.071000,0.071000,0.071000,0.071000,0
